Genus,total_genus,Source,Gene1,Gene2,total_source,amr_only,both_genes,comparison
Acinetobacter,28242,Fish/Seafood,mec,smr,1,0,0,mec+smr
Acinetobacter,28242,Fish/Seafood,mec,emrE,1,0,0,mec+emrE
Acinetobacter,28242,Fish/Seafood,mcr-,qac,1,0,0,mcr-+qac
Acinetobacter,28242,Fish/Seafood,mcr-,bcrABC,1,0,0,mcr-+bcrABC
Acinetobacter,28242,Fish/Seafood,mcr-,crcB,1,0,0,mcr-+crcB
Acinetobacter,28242,Fish/Seafood,mcr-,lmrS,1,0,0,mcr-+lmrS
Acinetobacter,28242,Fish/Seafood,mcr-,smr,1,0,0,mcr-+smr
Acinetobacter,28242,Fish/Seafood,mcr-,emrE,1,0,0,mcr-+emrE
Acinetobacter,28242,Fish/Seafood,qnrS,qac,1,0,0,qnrS+qac
Acinetobacter,28242,Fish/Seafood,qnrS,bcrABC,1,0,0,qnrS+bcrABC
Acinetobacter,28242,Fish/Seafood,qnrS,crcB,1,0,0,qnrS+crcB
Acinetobacter,28242,Fish/Seafood,qnrS,lmrS,1,0,0,qnrS+lmrS
Acinetobacter,28242,Fish/Seafood,qnrS,smr,1,0,0,qnrS+smr
Acinetobacter,28242,Fish/Seafood,qnrS,emrE,1,0,0,qnrS+emrE
Acinetobacter,28242,Fish/Seafood,sul,qac,1,0,0,sul+qac
Acinetobacter,28242,Fish/Seafood,sul,bcrABC,1,0,0,sul+bcrABC
Acinetobacter,28242,Fish/Seafood,sul,crcB,1,0,0,sul+crcB
Acinetobacter,28242,Fish/Seafood,sul,lmrS,1,0,0,sul+lmrS
Acinetobacter,28242,Fish/Seafood,sul,smr,1,0,0,sul+smr
Acinetobacter,28242,Fish/Seafood,sul,emrE,1,0,0,sul+emrE
Acinetobacter,28242,Fish/Seafood,tet,qac,1,0,0,tet+qac
Acinetobacter,28242,Fish/Seafood,tet,bcrABC,1,0,0,tet+bcrABC
Acinetobacter,28242,Fish/Seafood,tet,crcB,1,0,0,tet+crcB
Acinetobacter,28242,Fish/Seafood,tet,lmrS,1,0,0,tet+lmrS
Acinetobacter,28242,Fish/Seafood,tet,smr,1,0,0,tet+smr
Acinetobacter,28242,Fish/Seafood,tet,emrE,1,0,0,tet+emrE
Acinetobacter,28242,Fish/Seafood,van,qac,1,0,0,van+qac
Acinetobacter,28242,Fish/Seafood,van,bcrABC,1,0,0,van+bcrABC
Acinetobacter,28242,Fish/Seafood,van,crcB,1,0,0,van+crcB
Acinetobacter,28242,Fish/Seafood,van,lmrS,1,0,0,van+lmrS
Acinetobacter,28242,Fish/Seafood,van,smr,1,0,0,van+smr
Acinetobacter,28242,Fish/Seafood,van,emrE,1,0,0,van+emrE
Acinetobacter,28242,Multi-product,aac(3),qac,13,3,1,aac(3)+qac
Acinetobacter,28242,Multi-product,aac(3),bcrABC,13,3,0,aac(3)+bcrABC
Acinetobacter,28242,Multi-product,aac(3),crcB,13,3,0,aac(3)+crcB
