Genus,Source,Cluster,total_source,number
Clostridium,Animal feed,vanG_cluster,9,0
Clostridium,Raw pet food,vanA_YXcluster,0,0
Clostridium,Raw pet food,vanA_cluster,0,0
Clostridium,Raw pet food,vanB_YXcluster,0,0
Clostridium,Raw pet food,vanB_cluster,0,0
Clostridium,Raw pet food,vanRSPt_cluster,0,0
Clostridium,Raw pet food,vanGZ_cluster,0,0
Clostridium,Raw pet food,vanG_cluster,0,0
Clostridium,Pet food,vanA_YXcluster,1,0
Clostridium,Pet food,vanA_cluster,1,0
Clostridium,Pet food,vanB_YXcluster,1,0
Clostridium,Pet food,vanB_cluster,1,0
Clostridium,Pet food,vanRSPt_cluster,1,0
Clostridium,Pet food,vanGZ_cluster,1,0
Clostridium,Pet food,vanG_cluster,1,0
Clostridium,Egg,vanA_YXcluster,0,0
Clostridium,Egg,vanA_cluster,0,0
Clostridium,Egg,vanB_YXcluster,0,0
Clostridium,Egg,vanB_cluster,0,0
Clostridium,Egg,vanRSPt_cluster,0,0
Clostridium,Egg,vanGZ_cluster,0,0
Clostridium,Egg,vanG_cluster,0,0
Clostridium,Fish/Seafood,vanA_YXcluster,34,0
Clostridium,Fish/Seafood,vanA_cluster,34,0
Clostridium,Fish/Seafood,vanB_YXcluster,34,0
Clostridium,Fish/Seafood,vanB_cluster,34,0
Clostridium,Fish/Seafood,vanRSPt_cluster,34,0
Clostridium,Fish/Seafood,vanGZ_cluster,34,0
Clostridium,Fish/Seafood,vanG_cluster,34,0
Clostridium,Multi-product,vanA_YXcluster,109,0
Clostridium,Multi-product,vanA_cluster,109,0
Clostridium,Multi-product,vanB_YXcluster,109,0
Clostridium,Multi-product,vanB_cluster,109,0
Clostridium,Multi-product,vanRSPt_cluster,109,0
Clostridium,Multi-product,vanGZ_cluster,109,0
Clostridium,Multi-product,vanG_cluster,109,0
Clostridium,Meat/Poultry,vanA_YXcluster,80,0
Clostridium,Meat/Poultry,vanA_cluster,80,0
Clostridium,Meat/Poultry,vanB_YXcluster,80,0
Clostridium,Meat/Poultry,vanB_cluster,80,0
Clostridium,Meat/Poultry,vanRSPt_cluster,80,0
Clostridium,Meat/Poultry,vanGZ_cluster,80,0
Clostridium,Meat/Poultry,vanG_cluster,80,0
