Genus,Source,Gene,number,total,Percent
Escherichia coli,Meat,blaPER,1,9135,0.010946907
Escherichia coli,Reptile,blaPER,0,13,0
Escherichia coli,Cider,blaPER,0,14,0
Escherichia coli,Dairy,blaPER,0,325,0
Escherichia coli,Slaughterhouse,blaPER,0,247,0
Escherichia coli,Farm water,blaPER,0,29,0
Escherichia coli,Flour,blaPER,0,84,0
Escherichia coli,Fruit/vegetables,blaPER,0,763,0
Escherichia coli,Seeds,blaPER,0,5,0
Escherichia coli,Spice_Herbs,blaPER,0,49,0
Escherichia coli,Insect,blaPER,0,25,0
Escherichia coli,Nuts,blaPER,0,29,0
Escherichia coli,Plant,blaPER,0,16,0
Escherichia coli,Sewage,blaPER,0,331,0
Escherichia coli,Wastewater,blaPER,0,625,0
Escherichia coli,Water,blaPER,0,1464,0
Escherichia coli,Tea,blaPER,,,
Escherichia coli,Clinical,blaSHV,373,40966,0.910511156
Escherichia coli,Animal,blaSHV,45,9972,0.451263538
Escherichia coli,Animal environment,blaSHV,0,91,0
Escherichia coli,Animal feces,blaSHV,11,4932,0.223033252
Escherichia coli,Farm,blaSHV,1,1500,0.066666667
Escherichia coli,Egg,blaSHV,0,26,0
Escherichia coli,Farm sewage,blaSHV,0,6,0
Escherichia coli,Fish/Seafood,blaSHV,0,221,0
Escherichia coli,Food,blaSHV,3,765,0.392156863
Escherichia coli,Meat,blaSHV,78,9135,0.853858785
Escherichia coli,Reptile,blaSHV,0,13,0
Escherichia coli,Cider,blaSHV,0,14,0
Escherichia coli,Dairy,blaSHV,1,325,0.307692308
Escherichia coli,Slaughterhouse,blaSHV,14,247,5.668016194
Escherichia coli,Farm water,blaSHV,0,29,0
Escherichia coli,Flour,blaSHV,0,84,0
Escherichia coli,Fruit/vegetables,blaSHV,0,763,0
Escherichia coli,Seeds,blaSHV,0,5,0
Escherichia coli,Spice_Herbs,blaSHV,0,49,0
Escherichia coli,Insect,blaSHV,0,25,0
Escherichia coli,Nuts,blaSHV,0,29,0
Escherichia coli,Plant,blaSHV,0,16,0
Escherichia coli,Sewage,blaSHV,0,331,0
Escherichia coli,Wastewater,blaSHV,3,625,0.48
Escherichia coli,Water,blaSHV,8,1464,0.546448087
Escherichia coli,Tea,blaSHV,,,
Escherichia coli,Clinical,blaTEM,13594,40966,33.18361568
Escherichia coli,Animal,blaTEM,2507,9972,25.1403931
Escherichia coli,Animal environment,blaTEM,8,91,8.791208791
Escherichia coli,Animal feces,blaTEM,614,4932,12.44931062
Escherichia coli,Farm,blaTEM,335,1500,22.33333333
Escherichia coli,Egg,blaTEM,5,26,19.23076923
Escherichia coli,Farm sewage,blaTEM,4,6,66.66666667
Escherichia coli,Fish/Seafood,blaTEM,25,221,11.31221719
Escherichia coli,Food,blaTEM,184,765,24.05228758
Escherichia coli,Meat,blaTEM,2457,9135,26.89655172
Escherichia coli,Reptile,blaTEM,1,13,7.692307692
Escherichia coli,Cider,blaTEM,0,14,0
Escherichia coli,Dairy,blaTEM,41,325,12.61538462
Escherichia coli,Slaughterhouse,blaTEM,110,247,44.53441296
Escherichia coli,Farm water,blaTEM,6,29,20.68965517
Escherichia coli,Flour,blaTEM,0,84,0
Escherichia coli,Fruit/vegetables,blaTEM,136,763,17.82437746
Escherichia coli,Seeds,blaTEM,0,5,0
Escherichia coli,Spice_Herbs,blaTEM,1,49,2.040816327
Escherichia coli,Insect,blaTEM,2,25,8
Escherichia coli,Nuts,blaTEM,0,29,0
Escherichia coli,Plant,blaTEM,0,16,0
Escherichia coli,Sewage,blaTEM,127,331,38.36858006
Escherichia coli,Wastewater,blaTEM,188,625,30.08
Escherichia coli,Water,blaTEM,220,1464,15.0273224
Escherichia coli,Tea,blaTEM,,,
Escherichia coli,Clinical,blaVIM,21,40966,0.051262022
Escherichia coli,Animal,blaVIM,0,9972,0
Escherichia coli,Animal environment,blaVIM,0,91,0
Escherichia coli,Animal feces,blaVIM,3,4932,0.060827251
Escherichia coli,Farm,blaVIM,0,1500,0
Escherichia coli,Egg,blaVIM,0,26,0
Escherichia coli,Farm sewage,blaVIM,0,6,0
Escherichia coli,Fish/Seafood,blaVIM,0,221,0
Escherichia coli,Food,blaVIM,0,765,0
Escherichia coli,Meat,blaVIM,0,9135,0
Escherichia coli,Reptile,blaVIM,0,13,0
Escherichia coli,Cider,blaVIM,0,14,0
Escherichia coli,Dairy,blaVIM,0,325,0
Escherichia coli,Slaughterhouse,blaVIM,0,247,0
Escherichia coli,Farm water,blaVIM,0,29,0
Escherichia coli,Flour,blaVIM,0,84,0
Escherichia coli,Fruit/vegetables,blaVIM,0,763,0
Escherichia coli,Seeds,blaVIM,0,5,0
Escherichia coli,Spice_Herbs,blaVIM,0,49,0
Escherichia coli,Insect,blaVIM,0,25,0
Escherichia coli,Nuts,blaVIM,0,29,0
Escherichia coli,Plant,blaVIM,0,16,0
Escherichia coli,Sewage,blaVIM,0,331,0
Escherichia coli,Wastewater,blaVIM,0,625,0
Escherichia coli,Water,blaVIM,0,1464,0
Escherichia coli,Tea,blaVIM,,,
Escherichia coli,Clinical,catA,2441,40966,5.958599814
Escherichia coli,Animal,catA,327,9972,3.279181709
Escherichia coli,Animal environment,catA,0,91,0
Escherichia coli,Animal feces,catA,123,4932,2.493917275
Escherichia coli,Farm,catA,65,1500,4.333333333
Escherichia coli,Egg,catA,0,26,0
Escherichia coli,Farm sewage,catA,3,6,50
Escherichia coli,Fish/Seafood,catA,1,221,0.452488688
Escherichia coli,Food,catA,45,765,5.882352941
Escherichia coli,Meat,catA,331,9135,3.623426382
Escherichia coli,Reptile,catA,1,13,7.692307692
Escherichia coli,Cider,catA,0,14,0
Escherichia coli,Dairy,catA,2,325,0.615384615
Escherichia coli,Slaughterhouse,catA,16,247,6.477732794
Escherichia coli,Farm water,catA,1,29,3.448275862
Escherichia coli,Flour,catA,0,84,0
Escherichia coli,Fruit/vegetables,catA,1,763,0.131061599
Escherichia coli,Seeds,catA,0,5,0
Escherichia coli,Spice_Herbs,catA,0,49,0
Escherichia coli,Insect,catA,0,25,0
Escherichia coli,Nuts,catA,0,29,0
Escherichia coli,Plant,catA,0,16,0
Escherichia coli,Sewage,catA,30,331,9.063444109
Escherichia coli,Wastewater,catA,35,625,5.6
Escherichia coli,Water,catA,37,1464,2.527322404
Escherichia coli,Tea,catA,,,
Escherichia coli,Clinical,cmlA,1225,40966,2.990284626
Escherichia coli,Animal,cmlA,496,9972,4.973926996
Escherichia coli,Animal environment,cmlA,0,91,0
Escherichia coli,Animal feces,cmlA,109,4932,2.210056772
Escherichia coli,Farm,cmlA,98,1500,6.533333333
Escherichia coli,Egg,cmlA,0,26,0
Escherichia coli,Farm sewage,cmlA,1,6,16.66666667
Escherichia coli,Fish/Seafood,cmlA,6,221,2.714932127
Escherichia coli,Food,cmlA,62,765,8.104575163
Escherichia coli,Meat,cmlA,234,9135,2.561576355
Escherichia coli,Reptile,cmlA,0,13,0
Escherichia coli,Cider,cmlA,0,14,0
Escherichia coli,Dairy,cmlA,4,325,1.230769231
Escherichia coli,Slaughterhouse,cmlA,26,247,10.52631579
Escherichia coli,Farm water,cmlA,0,29,0
Escherichia coli,Flour,cmlA,0,84,0
Escherichia coli,Fruit/vegetables,cmlA,14,763,1.834862385
Escherichia coli,Seeds,cmlA,0,5,0
Escherichia coli,Spice_Herbs,cmlA,0,49,0
Escherichia coli,Insect,cmlA,0,25,0
Escherichia coli,Nuts,cmlA,0,29,0
Escherichia coli,Plant,cmlA,0,16,0
Escherichia coli,Sewage,cmlA,45,331,13.59516616
Escherichia coli,Wastewater,cmlA,6,625,0.96
Escherichia coli,Water,cmlA,39,1464,2.663934426
Escherichia coli,Tea,cmlA,,,
Escherichia coli,Clinical,dfrA,15063,40966,36.76951618
Escherichia coli,Animal,dfrA,1722,9972,17.26835138
Escherichia coli,Animal environment,dfrA,7,91,7.692307692
Escherichia coli,Animal feces,dfrA,573,4932,11.61800487
Escherichia coli,Farm,dfrA,387,1500,25.8
Escherichia coli,Egg,dfrA,4,26,15.38461538
Escherichia coli,Farm sewage,dfrA,6,6,100
Escherichia coli,Fish/Seafood,dfrA,28,221,12.66968326
Escherichia coli,Food,dfrA,207,765,27.05882353
Escherichia coli,Meat,dfrA,2171,9135,23.76573618
Escherichia coli,Reptile,dfrA,0,13,0
Escherichia coli,Cider,dfrA,0,14,0
Escherichia coli,Dairy,dfrA,35,325,10.76923077
Escherichia coli,Slaughterhouse,dfrA,79,247,31.98380567
Escherichia coli,Farm water,dfrA,3,29,10.34482759
Escherichia coli,Flour,dfrA,0,84,0
Escherichia coli,Fruit/vegetables,dfrA,119,763,15.59633028
Escherichia coli,Seeds,dfrA,0,5,0
