Genus,Source,Class,number,total,Percent
Shigella,Wastewater,glycopeptide,,,
Shigella,Water,glycopeptide,0,2,0
Shigella,Tea,glycopeptide,,,
Shigella,Clinical,MLS,0,11270,0
Shigella,Animal,MLS,0,24,0
Shigella,Animal environment,MLS,,,
Shigella,Animal feces,MLS,,,
Shigella,Farm,MLS,,,
Shigella,Egg,MLS,,,
Shigella,Farm sewage,MLS,,,
Shigella,Fish/Seafood,MLS,0,2,0
Shigella,Food,MLS,0,35,0
Shigella,Meat,MLS,0,12,0
Shigella,Reptile,MLS,,,
Shigella,Cider,MLS,,,
Shigella,Dairy,MLS,,,
Shigella,Slaughterhouse,MLS,,,
Shigella,Farm water,MLS,,,
Shigella,Flour,MLS,,,
Shigella,Fruit/vegetables,MLS,0,1,0
Shigella,Seeds,MLS,,,
Shigella,Spice_Herbs,MLS,,,
Shigella,Insect,MLS,,,
Shigella,Nuts,MLS,,,
Shigella,Plant,MLS,,,
Shigella,Sewage,MLS,0,2,0
Shigella,Wastewater,MLS,,,
Shigella,Water,MLS,0,2,0
Shigella,Tea,MLS,,,
Shigella,Clinical,macrolide,2865,11270,25.42147294
Shigella,Animal,macrolide,0,24,0
Shigella,Animal environment,macrolide,,,
Shigella,Animal feces,macrolide,,,
Shigella,Farm,macrolide,,,
Shigella,Egg,macrolide,,,
Shigella,Farm sewage,macrolide,,,
Shigella,Fish/Seafood,macrolide,0,2,0
Shigella,Food,macrolide,14,35,40
Shigella,Meat,macrolide,0,12,0
Shigella,Reptile,macrolide,,,
Shigella,Cider,macrolide,,,
Shigella,Dairy,macrolide,,,
Shigella,Slaughterhouse,macrolide,,,
Shigella,Farm water,macrolide,,,
Shigella,Flour,macrolide,,,
Shigella,Fruit/vegetables,macrolide,0,1,0
Shigella,Seeds,macrolide,,,
Shigella,Spice_Herbs,macrolide,,,
Shigella,Insect,macrolide,,,
Shigella,Nuts,macrolide,,,
Shigella,Plant,macrolide,,,
Shigella,Sewage,macrolide,0,2,0
Shigella,Wastewater,macrolide,,,
Shigella,Water,macrolide,1,2,50
Shigella,Tea,macrolide,,,
