Species,Genus,total_genus,Source,Gene,number,total
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,mec,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,mcr-,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,mcr-1,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,mcr-9,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,qnrS,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,sul,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,tet,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,van,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,gyrA,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,parC,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,parE,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,aac(3),,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,aac(6')-Ib-cr,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,aadA,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,aph(3'')-Ib,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,aph(3'),,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,aph(6)-Id,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaACT,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaCARB,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaCMY,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaCMY-2,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaCTX-M,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaGES,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaIMP,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaKPC,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaNDM,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaOXA,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaPER,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaSHV,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaTEM,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,blaVIM,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,catA,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,cmlA,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,dfrA,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,mec,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,mcr-,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,mcr-1,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,mcr-9,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,qnrS,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,sul,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,tet,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,van,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,gyrA,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,parC,,
Enterobacter oligotrophicus,Enterobacter,4,Pet food,parE,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,aac(3),,
Enterobacter oligotrophicus,Enterobacter,4,Egg,aac(6')-Ib-cr,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,aadA,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,aph(3'')-Ib,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,aph(3'),,
Enterobacter oligotrophicus,Enterobacter,4,Egg,aph(6)-Id,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaACT,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaCARB,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaCMY,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaCMY-2,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaCTX-M,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaGES,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaIMP,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaKPC,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaNDM,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaOXA,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaPER,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaSHV,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaTEM,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,blaVIM,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,catA,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,cmlA,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,dfrA,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,mec,,
Enterobacter oligotrophicus,Enterobacter,4,Egg,mcr-,,
