Genus,Source,Gene,number,total
Aeromonas salmonicida,330,Pet food,qacB,0,0
Aeromonas salmonicida,330,Pet food,qacF,0,0
Aeromonas salmonicida,330,Pet food,qacG,0,0
Aeromonas salmonicida,330,Pet food,qacH,0,0
Aeromonas salmonicida,330,Pet food,qacJ,0,0
Aeromonas salmonicida,330,Pet food,qacK,0,0
Aeromonas salmonicida,330,Pet food,qacL,0,0
Aeromonas salmonicida,330,Pet food,qacM,0,0
Aeromonas salmonicida,330,Pet food,sugE,0,0
Aeromonas salmonicida,330,Pet food,bcrABC,0,0
Aeromonas salmonicida,330,Pet food,crcB,0,0
Aeromonas salmonicida,330,Pet food,srp,0,0
Aeromonas salmonicida,330,Pet food,smd,0,0
Aeromonas salmonicida,330,Pet food,sde,0,0
Aeromonas salmonicida,330,Pet food,lmrS,0,0
Aeromonas salmonicida,330,Pet food,smr,0,0
Aeromonas salmonicida,330,Pet food,ssmE,0,0
Aeromonas salmonicida,330,Pet food,tbtR,0,0
Aeromonas salmonicida,330,Pet food,ttg,0,0
Aeromonas salmonicida,330,Pet food,ttgR,0,0
Aeromonas salmonicida,330,Pet food,ttgT,0,0
Aeromonas salmonicida,330,Pet food,mtrF,0,0
Aeromonas salmonicida,330,Pet food,emrE,0,0
Aeromonas salmonicida,330,Farm,qac,2,1
Aeromonas salmonicida,330,Farm,qacEdelta,2,1
Aeromonas salmonicida,330,Farm,qacC,2,0
Aeromonas salmonicida,330,Farm,qacE,2,0
Aeromonas salmonicida,330,Farm,qacA,2,0
Aeromonas salmonicida,330,Farm,qacB,2,0
Aeromonas salmonicida,330,Farm,qacF,2,0
Aeromonas salmonicida,330,Farm,qacG,2,0
Aeromonas salmonicida,330,Farm,qacH,2,0
Aeromonas salmonicida,330,Farm,qacJ,2,0
Aeromonas salmonicida,330,Farm,qacK,2,0
Aeromonas salmonicida,330,Farm,qacL,2,0
Aeromonas salmonicida,330,Farm,qacM,2,0
Aeromonas salmonicida,330,Farm,sugE,2,0
Aeromonas salmonicida,330,Farm,bcrABC,2,0
Aeromonas salmonicida,330,Farm,crcB,2,0
Aeromonas salmonicida,330,Farm,srp,2,0
Aeromonas salmonicida,330,Farm,smd,2,0
Aeromonas salmonicida,330,Farm,sde,2,0
Aeromonas salmonicida,330,Farm,lmrS,2,0
Aeromonas salmonicida,330,Farm,smr,2,0
Aeromonas salmonicida,330,Farm,ssmE,2,0
Aeromonas salmonicida,330,Farm,tbtR,2,0
Aeromonas salmonicida,330,Farm,ttg,2,0
Aeromonas salmonicida,330,Farm,ttgR,2,0
Aeromonas salmonicida,330,Farm,ttgT,2,0
Aeromonas salmonicida,330,Farm,mtrF,2,0
Aeromonas salmonicida,330,Farm,emrE,2,0
Aeromonas salmonicida,330,Egg,qac,0,0
Aeromonas salmonicida,330,Egg,qacEdelta,0,0
Aeromonas salmonicida,330,Egg,qacC,0,0
Aeromonas salmonicida,330,Egg,qacE,0,0
Aeromonas salmonicida,330,Egg,qacA,0,0
Aeromonas salmonicida,330,Egg,qacB,0,0
Aeromonas salmonicida,330,Egg,qacF,0,0
Aeromonas salmonicida,330,Egg,qacG,0,0
Aeromonas salmonicida,330,Egg,qacH,0,0
Aeromonas salmonicida,330,Egg,qacJ,0,0
Aeromonas salmonicida,330,Egg,qacK,0,0
Aeromonas salmonicida,330,Egg,qacL,0,0
Aeromonas salmonicida,330,Egg,qacM,0,0
Aeromonas salmonicida,330,Egg,sugE,0,0
Aeromonas salmonicida,330,Egg,bcrABC,0,0
Aeromonas salmonicida,330,Egg,crcB,0,0
Aeromonas salmonicida,330,Egg,srp,0,0
Aeromonas salmonicida,330,Egg,smd,0,0
Aeromonas salmonicida,330,Egg,sde,0,0
Aeromonas salmonicida,330,Egg,lmrS,0,0
Aeromonas salmonicida,330,Egg,smr,0,0
Aeromonas salmonicida,330,Egg,ssmE,0,0
Aeromonas salmonicida,330,Egg,tbtR,0,0
Aeromonas salmonicida,330,Egg,ttg,0,0
Aeromonas salmonicida,330,Egg,ttgR,0,0
Aeromonas salmonicida,330,Egg,ttgT,0,0
Aeromonas salmonicida,330,Egg,mtrF,0,0
Aeromonas salmonicida,330,Egg,emrE,0,0
Aeromonas salmonicida,330,Farm sewage,qac,0,0
Aeromonas salmonicida,330,Farm sewage,qacEdelta,0,0
Aeromonas salmonicida,330,Farm sewage,qacC,0,0
